한다노비치, 인터 밀란과 재계약 기본 합의… 2023년 6월까지::(베스트 일레븐)인터 밀란 수문장 사미르 한다노비치가 소속팀과 재계약에 합의했다.이탈리아 매체 <투토 메르카토>는 인터 밀란과 한다노비치가 오는 2023년 ...
[영상] 트로피 들고 '활짝'…팀 복귀 손흥민, 코로나19 음성 유력::(서울=연합뉴스) 오스트리아에서 A매치(국가대표팀 간 경기)를 치르면서 코로나19 감염이 우려됐던 손흥민(28·토트넘)이 팀 훈련에 무사히 합류했습니다. 토...
손흥민 고백 "이달의 선수상 케인이 받을 줄"::▲ 10월 프리미어리그 이달의 선수상을 수상한 손흥민. ⓒ토트넘 홋스퍼 sns[스포티비뉴스=김건일 기자] 10월 잉글랜드 프리미어리그 이달의 선수상(Play...
'부상 선수만 10명' 리버풀, 유스 팀 유망주 8명 1군 승격::▲ 위르겐 클롭 감독의 머리가 아파졌다.[스포티비뉴스=맹봉주 기자] 다친 선수가 많아도 너무 많다. 선발명단도 제대로 꾸리기 힘든 상황이다. 시즌 초반부터 ...
무리뉴가 밝힌 'SON-케인' 호흡 “둘이 친하거든…질투 없어”::[엑스포츠뉴스 김희웅 인턴기자] 토트넘 홋스퍼의 수장 조제 무리뉴 감독이 손흥민과 해리 케인의 찰떡 호흡의 원인을 설명했다.올 시즌 손흥민과 케인은 어떤 공...
클롭도 부상자 속출에 미칠 노릇...결국 '유스 8명 1군 콜업'::[스포탈코리아] 곽힘찬 기자= 부상으로 주전 상당 부분이 전력에서 이탈한 리버풀이 유스 선수들을 대거 1군으로 콜업했다.영국 매체 ‘더 선’은 19일(현지시...
아르테타의 일침 "경기서 패배하면 외질의 이름 연호하지만 이기면 아무 말도 안 해"::왼쪽부터 아르테타, 외질. EPL 홈페이지 캡처 잉글랜드 프로축구 1부리그 프리미어리그(EPL) 소속 아스널 FC를 이끄는 스페인 출신 미켈 아르테타 감독은...
16세 생일 맞이한 괴물 신예 모우코코, 최연소 데뷔할까?::▲ 모우코코, 11월 20일 만 16세 생일▲ 모우코코, 1군 합류 & 등번호 18번▲ 모우코코, 유스 통산 88경기 141골▲ 모우코코, 3시즌 연속 득점...
과르디올라 재계약, 이강인 맨시티행 탄력?::맨시티와 재계약을 체결한 과르디올라 감독. ⓒ 뉴시스펩 과르디올라 감독이 맨체스터 시티(이하 맨시티)와 재계약을 체결하면서 이강인(발렌시아)의 거취에도 영향...
발렌시아 복귀 이강인, 개인 훈련::11월 오스트리아 원정 A매치에 나선 남자축구 국가대표팀 이강인이 15일(현지시간) 마리아엔처스도르프 BSFZ아레나 보조경기장에서 훈련하고 있다. 2020....
'환상적인 호흡' SON-케인...무리뉴 "절친이라 더 잘 맞는 듯"::[인터풋볼] 신동훈 기자 = 조세 무리뉴 감독이 손흥민(28)과 해리 케인(27)이 찰떡 궁합을 보이는 이유를 공개했다.무리뉴 감독은 2000년대 중반 포르...
토트넘 복귀 손흥민, 22일 맨시티전 출격 '청신호'::토트넘에 복귀한 손흥민(가운데)이 동료인 세르주 오리에(왼쪽) 무사 시스코와 함께 오는 22일 맨시티전을 앞둔 팀 훈련에 밝은 모습으로 참여하고 있다./토트...
'4시즌 챔스 무관'에도 재계약 과르디올라, 이유는?::호셉 과르디올라 감독, 맨체스터 시티와 2년 재계약[전재경 기자]호셉 과르디올라(49·스페인) 감독이 맨체스터 시티를 계속 이끈다. 잉글랜드 프로축구 맨체스...
천~ 만다행… ‘코로나 음성’ SON “모레 9호골 도전”::토트넘 홋스퍼가 19일 밤(한국시간) SNS에 팀 훈련에 합류한 손흥민 사진을 공개했다.토트넘, 훈련 합류 모습 공개‘10월의 선수’ 수상 소감 밝혀“케인 ...
[벨기에통신] 이승우, 루뱅전 훈련 매진… ‘악연’ 브리스 감독과 적으로 조우 (영상)::[스포탈코리아=브뤼셀(벨기에)] 김남구 통신원= U-23 대표팀을 일정을 마친 이승우(신트트라위던 VV)가 소속팀 훈련에 매진했다.이승우는 U-23 대표팀에...
맨유-레알-PSG, ‘카마빙가 영입’ 3파전… 이적료 916억::[엑스포츠뉴스 김희웅 인턴기자] 각국 빅클럽들이 에두아르도 카마빙가(스타드 렌) 모시기에 나섰다.영국 매체 스포츠몰은 20일(한국 시간) “맨체스터 유나이티...
EPL서 뛰고픈 케디라, 손흥민과 한솥밥 먹을까? "무리뉴와 보낸 시간 매우 즐겼다"::케디라. 분데스리가 홈페이지 캡처 이탈리아 프로축구 1부리그 세리에 A 소속 유벤투스 FC에서 뛰는 독일 출신 미드필더 사미 케디라가 잉글랜드 프로축구 1부...
